City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
218,kittila,67.6647,24.8936,23.08,49,0,3.09,FI,1721759592
219,ouro preto do oeste,-10.7481,-62.2158,34.86,17,19,2.37,BR,1721759593
220,el calafate,-50.3408,-72.2768,6.88,80,13,11.16,AR,1721759374
221,mainhardt,49.0761,9.5564,19.48,89,75,2.06,DE,1721759595
222,zavitinsk,50.1167,129.45,18.09,80,20,2.56,RU,1721759592
223,mersing,2.4312,103.8405,25.95,94,20,3.09,MY,1721759477
224,donskoy,53.9711,38.3363,15.82,63,48,1.89,RU,1721759599
225,hammerfest,70.6634,23.6821,24.25,53,0,2.06,NO,1721759600
226,ruidoso,33.3317,-105.673,23.36,46,0,2.57,US,1721759601
227,luanda,-8.8368,13.2343,23.0,73,0,3.09,AO,1721759492
228,usogorsk,63.4106,48.6872,13.23,86,6,1.42,RU,1721759603
229,st. john's,47.5649,-52.7093,25.15,48,100,7.2,CA,1721759364
230,leava,-14.3,-178.1667,27.79,70,100,8.83,WF,1721759606
231,velyka dymerka,50.5918,30.9011,19.3,66,6,2.85,UA,1721759607
232,beni saf,35.301,-1.3823,33.16,45,0,3.02,DZ,1721759608
233,freetown,8.484,-13.2299,25.75,80,93,5.18,SL,1721759609
234,santa rosa del sara,-17.1092,-63.5989,32.83,23,0,3.4,BO,1721759610
235,rikaze,29.25,88.8833,15.05,66,100,0.74,CN,1721759611
236,nuuk,64.1835,-51.7216,10.34,71,20,4.12,GL,1721759613
237,turbat,26.0023,63.044,29.76,73,7,4.05,PK,1721759614
238,flin flon,54.7682,-101.865,21.91,49,75,3.6,CA,1721759615
239,marsabit,2.3284,37.9899,22.26,42,100,5.81,KE,1721759616
240,roxas,11.5853,122.7511,23.97,81,100,2.79,PH,1721759617
241,kimbe,-5.5502,150.1429,24.31,93,99,2.71,PG,1721759618
242,kingscliff,-28.2667,153.5667,11.08,89,61,2.7,AU,1721759620
243,mar del plata,-38.0023,-57.5575,20.29,49,0,6.69,AR,1721759602
244,geraldton,-28.7667,114.6,9.23,93,20,0.51,AU,1721759622
245,kruisfontein,-34.0033,24.7314,12.16,86,0,4.83,ZA,1721759623
246,kavaratti,10.5669,72.642,28.07,86,100,7.09,IN,1721759624
247,taco pozo,-25.6167,-63.2833,28.27,30,90,7.96,AR,1721759625
248,khandyga,62.6667,135.6,14.35,96,100,0.95,RU,1721759627
249,alamo,20.9167,-97.6833,29.8,68,58,1.22,MX,1721759628
250,tsiombe,-25.3,45.4833,19.09,72,0,4.51,MG,1721759629
251,laojunmiao,39.8333,97.7333,16.02,61,1,1.35,CN,1721759630
252,howard springs,-12.497,131.047,18.95,87,92,1.84,AU,1721759631
253,weener,53.1667,7.35,20.13,91,0,5.05,DE,1721759634
254,northam,51.0333,-4.2167,17.59,90,100,3.04,GB,1721759635
255,popondetta,-8.7537,148.2534,22.48,96,100,1.01,PG,1721759636
256,uyuni,-20.4597,-66.825,10.85,25,0,5.88,BO,1721759637
257,chenaran,36.6455,59.1212,27.32,34,2,2.72,IR,1721759640
258,islamorada,24.9243,-80.6278,32.0,83,13,7.0,US,1721759641
259,tual,-5.6667,132.75,25.21,86,94,7.54,ID,1721759642
260,faya-largeau,17.9257,19.1043,32.9,35,33,6.64,TD,1721759643
261,balykshi,47.0667,51.8667,29.0,37,40,7.0,KZ,1721759644
262,hawaiian paradise park,19.5933,-154.9731,25.73,94,75,1.54,US,1721759645
263,ust'-ilimsk,58.0006,102.6619,18.5,94,100,1.75,RU,1721759647
264,peterhead,57.5058,-1.7981,15.81,81,100,1.26,GB,1721759648
265,namtsy,62.7161,129.6658,15.88,88,95,1.68,RU,1721759649
266,nuku'alofa,-21.1333,-175.2,18.19,100,20,0.0,TO,1721759650
267,dunedin,-45.8742,170.5036,10.0,45,98,2.59,NZ,1721759651
268,tawau,4.2498,117.8871,26.07,86,100,1.87,MY,1721759653
269,lazaro cardenas,17.9583,-102.2,31.5,60,84,4.4,MX,1721759654
270,yulinshi,38.2906,109.7494,27.09,54,100,5.97,CN,1721759655
271,jinchang,38.4953,102.1739,18.0,72,99,2.12,CN,1721759657
272,tadmur,34.5608,38.2805,30.24,34,0,10.15,SY,1721759658
273,saint-philippe,-21.3585,55.7679,19.77,79,37,4.18,RE,1721759659
274,esmeralda,21.8525,-78.1169,31.77,59,65,6.42,CU,1721759660
